Report Number,Local Case Number,ACRS Report Type,Related Non-Motorist,Driver Substance Abuse,Non-Motorist Substance Abuse,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Speed Limit,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,Pedestrian At Fault
MCP1048000Z,15050991,Injury Crash,OTHER,No Information,No Information,Yes,NO APPARENT INJURY,No Information,USING DEVICE OBJECT BROUGHT INTO VEHICLE,35,OTHER,Other Working,NO IMPROPER ACTIONS,INSIDE BUILDING,OTHER,OTHER,No
MCP2594001X,16045933,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,IN BIKEWAY,OBEYED PED. SIGNAL,REFLECTIVE MATERIAL,No
MCP2757001K,17005896,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,30,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes
MCP28910022,16012593,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,15,PEDESTRIAN,Getting off/on Vehicle,NO IMPROPER ACTIONS,OTHER,No Information,MIXED CLOTHING,No
MCP1235001Q,190001836,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,30,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No
MCP11190029,16014195,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,0,PEDESTRIAN,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP29170040,190014236,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,15,PEDESTRIAN,Playing,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP2046005K,16027508,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP2559000S,16023994,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Walking/Riding w/Traffic,IN ROADWAY IMPROPERLY,CURB,No Information,MIXED CLOTHING,No
MCP28590065,180061198,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP27890024,16002818,Injury Crash,PEDESTRIAN,No Information,No Information,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Walking/Riding w/Traffic,IN ROADWAY IMPROPERLY,OUTSIDE RIGHT OF WAY,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP2001000K,16053275,Fatal Crash,PEDESTRIAN,NONE DETECTED,ALCOHOL PRESENT,Unknown,NO APPARENT INJURY,No Information,UNKNOWN,50,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,Yes
MCP26230025,15060091,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,BICYCLIST,Cross/Enter at Intersection,No Information,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP2043000K,16034690,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,15,BICYCLIST,Cross/Enter at Intersection,OTHER,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,No Information,No
MCP2339003M,180038573,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,40,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,No Information,MIXED CLOTHING,No
MCP23570024,170501222,Injury Crash,PEDESTRIAN,NONE DETECTED,No Information,Yes,POSSIBLE INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,No Information,No Information,SIDEWALK,No Information,No Information,No
HA2399000M,16000538,Injury Crash,BICYCLIST,NONE DETECTED,No Information,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,MIDBLOCK MARKED CROSSWALK,UNKNOWN,No Information,Yes
MCP2837000W,16017365,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,5,PEDESTRIAN,Other,OTHER,OTHER,NO PED. SIGNAL,OTHER,No
MCP1438002S,16033074,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,POSSIBLE INJURY,No Information,INATTENTIVE OR LOST IN THOUGHT,25,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,No Information,DARK CLOTHING,No
MCP1438002S,16033074,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,POSSIBLE INJURY,No Information,INATTENTIVE OR LOST IN THOUGHT,25,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,No Information,LIGHT CLOTHING,No
MCP1438002S,16033074,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,POSSIBLE INJURY,No Information,INATTENTIVE OR LOST IN THOUGHT,25,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,No Information,LIGHT CLOTHING,No
DD55950034,16052438,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,15,PEDESTRIAN,Other,DART DASH,OTHER,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP9422000X,170549438,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,INATTENTIVE OR LOST IN THOUGHT,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP2363000J,15045070,Fatal Crash,PEDESTRIAN,No Information,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,40,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes
MCP31090019,180045118,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,PEDESTRIAN,Standing,No Information,ON ROADWAY NOT AT CROSSWALK,No Information,REFLECTIVE MATERIAL,No
MCP271700KQ,180048158,Property Damage Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP2656000Z,15057405,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No
DD5595004L,170530299,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,No,NO APPARENT INJURY,"SLEET, HAIL, FREEZ. RAIN, WET",UNKNOWN,30,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,OUTSIDE RIGHT OF WAY,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP2939003C,190008759,Injury Crash,PEDESTRIAN,No Information,ALCOHOL PRESENT,Yes,NO APPARENT INJURY,No Information,UNKNOWN,40,PEDESTRIAN,No Information,UNKNOWN,ON ROADWAY AT CROSSWALK,UNKNOWN,DARK CLOTHING,Unknown
MCP29760024,16050199,Injury Crash,PEDESTRIAN,ALCOHOL PRESENT,NONE DETECTED,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",UNKNOWN,0,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,No Information,MIXED CLOTHING,No
MCP2730000M,15059015,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,0,PEDESTRIAN,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,No Information,MIXED CLOTHING,No
MCP2954006J,190005761,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No
MCP2399002H,190014239,Injury Crash,PEDESTRIAN,NONE DETECTED,No Information,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,No Information,No
MCP2967003Q,190011529,Injury Crash,PEDESTRIAN,No Information,No Information,No,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,Yes
DD55380016,16001429,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,"RAIN, SNOW, SMOG, SMOKE, WET",NOT DISTRACTED,30,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP1301000N,16036204,Fatal Crash,BICYCLIST,NONE DETECTED,UNKNOWN,Unknown,SUSPECTED MINOR INJURY,No Information,NOT DISTRACTED,45,BICYCLIST,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes
DD5616000K,15065670,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,40,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,UNKNOWN,DARK CLOTHING,No
MCP1575003Z,16023555,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,0,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,DARK CLOTHING,No
MCP28130016,15031257,Injury Crash,BICYCLIST,No Information,No Information,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,5,BICYCLIST,Walking/Riding against Traffic,WRONG WAY RIDING OR WALKING,SHOULDER,NO PED. SIGNAL,LIGHT CLOTHING,No Information
MCP2369000P,16021573,Property Damage Crash,OTHER,NONE DETECTED,No Information,Yes,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,25,OTHER,No Information,No Information,No Information,No Information,No Information,No
MCP2694001N,15040391,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,5,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,No Information,LIGHT CLOTHING,No
MCP2546001V,16047005,Property Damage Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,BICYCLIST,Cross/Enter at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Yes
MCP25660011,190007371,Injury Crash,PEDESTRIAN,UNKNOWN,No Information,Yes,NO APPARENT INJURY,No Information,UNKNOWN,5,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,No Information,UNKNOWN,No
MCP3113001G,190021751,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP2546002M,180063485,Fatal Crash,PEDESTRIAN,NONE DETECTED,UNKNOWN,Unknown,POSSIBLE INJURY,No Information,UNKNOWN,40,PEDESTRIAN,Unknown,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,No Information,LIGHT CLOTHING,Unknown
MCP13970015,180025254,Injury Crash,PEDESTRIAN,No Information,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,No Information,REFLECTIVE MATERIAL,No
MCP28300019,15006537,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,No Information,No Information
MCP2231001Y,16019835,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,SHOULDER,NO PED. SIGNAL,LIGHT CLOTHING,No
MCP2708000P,15041202,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP05390027,16039408,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",LOOKED BUT DID NOT SEE,30,BICYCLIST,Cross/Enter at Intersection,OTHER,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP2039001J,16018390,Property Damage Crash,OTHER,No Information,No Information,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,45,OTHER,No Information,No Information,INSIDE BUILDING,No Information,No Information,No
MCP0973000S,180020154,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,25,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,Yes
MCP30950018,180059724,Injury Crash,PEDESTRIAN,No Information,No Information,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,55,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP2531000H,16019244,Property Damage Crash,BICYCLIST,No Information,No Information,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,30,BICYCLIST,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,AT INTERSECTION MARKED CROSSWALK,DISOBEYED PED. SIGNAL,LIGHT CLOTHING,Yes
MCP9318000L,180031038,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP9318000L,180031038,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP2348000N,15005502,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,0,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No Information
MCP9386001V,15007255,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,REFLECTIVE MATERIAL,No Information
MCP2492000F,15055888,Injury Crash,PEDESTRIAN,UNKNOWN,UNKNOWN,Unknown,NO APPARENT INJURY,No Information,UNKNOWN,50,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,ON ROADWAY AT CROSSWALK,UNKNOWN,DARK CLOTHING,Unknown
MCP23570035,180024363,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"N/A, RAIN, SNOW",NOT DISTRACTED,25,PEDESTRIAN,Standing,OTHER,No Information,No Information,MIXED CLOTHING,Yes
MCP23570035,180024363,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"N/A, RAIN, SNOW",NOT DISTRACTED,25,PEDESTRIAN,Standing,OTHER,OTHER,No Information,MIXED CLOTHING,Yes
MCP2937000Y,15040567,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,15,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,LIGHT CLOTHING,No
DM8266000D,16035251,Injury Crash,PEDESTRIAN,No Information,NONE DETECTED,No,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Cross/Enter not at Intersection,ENTERING EXITING PARKED STANDING VEHICLE,OTHER,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP2954004Y,180011396,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Other,INATTENTIVE,No Information,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP2425008Y,17014637,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Unknown,NO APPARENT INJURY,No Information,OTHER DISTRACTION,0,PEDESTRIAN,Other,OTHER,OTHER,No Information,MIXED CLOTHING,Unknown
MCP2889001R,16050824,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,40,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No
DD56190001,16009838,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No
MCP2875001R,16013916,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,SIDEWALK,OBEYED PED. SIGNAL,REFLECTIVE MATERIAL,No
MCP2875001R,16013916,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,SIDEWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP1580004X,15062796,Injury Crash,PEDESTRIAN,NONE DETECTED,UNKNOWN,Yes,NO APPARENT INJURY,No Information,UNKNOWN,30,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,UNKNOWN,DARK CLOTHING,No
DD55830022,16064028,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,30,PEDESTRIAN,Walking to/from school,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No
MCP24690018,16047065,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,OTHER DISTRACTION,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP24690018,16047065,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,OTHER DISTRACTION,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP28750014,15038530,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",LOOKED BUT DID NOT SEE,0,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP27570010,15066325,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"N/A, WET",UNKNOWN,40,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP2201000C,15010254,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,OTHER,DARK CLOTHING,No Information
MCP2504000X,15042843,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,40,BICYCLIST,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes
MCP1595000Q,170504644,Injury Crash,PEDESTRIAN,UNKNOWN,ALCOHOL PRESENT,Yes,NO APPARENT INJURY,No Information,UNKNOWN,15,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,CURB,NO PED. SIGNAL,LIGHT CLOTHING,No
MCP2756000X,15046374,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,40,PEDESTRIAN,Cross/Enter at Intersection,No Information,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP2756000X,15046374,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,40,PEDESTRIAN,Cross/Enter at Intersection,No Information,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP2015000D,15004236,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"ICY OR SNOW-COVERED, RAIN, SNOW",NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No Information
MCP2892000S,15022587,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,5,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,No Information,LIGHT CLOTHING,No Information
MCP28800011,15020169,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,No Information
MCP2363000K,15053556,Fatal Crash,PEDESTRIAN,NONE DETECTED,UNKNOWN,Yes,NO APPARENT INJURY,"N/A, V WIPERS|W OTHER ENVIRONMENTAL",TALKING OR LISTENING TO CELLULAR PHONE,45,PEDESTRIAN,Other,IN ROADWAY IMPROPERLY,OTHER,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP3118000W,180034608,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP28300029,16046204,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Unknown,NO APPARENT INJURY,No Information,UNKNOWN,0,PEDESTRIAN,Standing,UNKNOWN,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Unknown
MCP2755000S,16052965,Injury Crash,PEDESTRIAN,UNKNOWN,No Information,No,NO APPARENT INJURY,No Information,UNKNOWN,40,PEDESTRIAN,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,No Information,Yes
MCP3052000F,170529958,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,15,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,No Information,MIXED CLOTHING,No
MCP23530052,180007295,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"SLEET, HAIL, FREEZ. RAIN, WET",NOT DISTRACTED,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No
MCP3140000W,190006174,Injury Crash,OTHER,No Information,No Information,Yes,NO APPARENT INJURY,No Information,INATTENTIVE OR LOST IN THOUGHT,15,OTHER,Other,NO IMPROPER ACTIONS,OTHER,No Information,DARK CLOTHING,No
